probe	hgnc	ensembl
11750218_x_at	TSPAN6	ENSG00000000003
11757467_x_at	TSPAN6	ENSG00000000003
11751564_a_at	TSPAN6	ENSG00000000003
11716696_s_at	TSPAN6	ENSG00000000003
11716693_a_at	TSPAN6	ENSG00000000003
11716694_at	TSPAN6	ENSG00000000003
11716695_a_at	TSPAN6	ENSG00000000003
11747526_a_at	TSPAN6	ENSG00000000003
11729535_at	TNMD	ENSG00000000005
11754523_a_at	DPM1	ENSG00000000419
11750837_a_at	SCYL3	ENSG00000000457
11756468_a_at	SCYL3	ENSG00000000457
11725837_a_at	C1orf112	ENSG00000000460
11747369_x_at	C1orf112	ENSG00000000460
11752665_a_at	C1orf112	ENSG00000000460
11761050_at	FGR	ENSG00000000938
11722480_a_at	FGR	ENSG00000000938
11743847_x_at	CFH	ENSG00000000971
11734578_a_at	CFH	ENSG00000000971
11760727_at	FUCA2	ENSG00000001036
11758787_at	FUCA2	ENSG00000001036
11717740_a_at	FUCA2	ENSG00000001036
11717741_x_at	FUCA2	ENSG00000001036
11729218_a_at	GCLC	ENSG00000001084
11750770_a_at	GCLC	ENSG00000001084
11754931_a_at	GCLC	ENSG00000001084
11759894_at	GCLC	ENSG00000001084
11725734_a_at	NFYA	ENSG00000001167
11725735_a_at	NFYA	ENSG00000001167
11749009_a_at	NFYA	ENSG00000001167
11725733_a_at	NFYA	ENSG00000001167
11758944_at	NFYA	ENSG00000001167
11752691_a_at	STPG1	ENSG00000001460
11728096_a_at	STPG1	ENSG00000001460
11725627_at	NIPAL3	ENSG00000001461
11761202_at	NIPAL3	ENSG00000001461
11721074_a_at	LAS1L	ENSG00000001497
11762896_a_at	LAS1L	ENSG00000001497
11736143_s_at	ENPP4	ENSG00000001561
11736144_at	ENPP4	ENSG00000001561
11736142_at	ENPP4	ENSG00000001561
11749014_a_at	SEMA3F	ENSG00000001617
11720907_x_at	SEMA3F	ENSG00000001617
11744948_x_at	SEMA3F	ENSG00000001617
11722757_at	CFTR	ENSG00000001626
11756260_s_at	ANKIB1	ENSG00000001629
11744084_s_at	ANKIB1	ENSG00000001629
11744083_at	ANKIB1	ENSG00000001629
11733738_a_at	KRIT1	ENSG00000001631
11740855_a_at	KRIT1	ENSG00000001631
11730380_a_at	KRIT1	ENSG00000001631
11730379_x_at	KRIT1	ENSG00000001631
11759109_x_at	KRIT1	ENSG00000001631
11759108_at	KRIT1	ENSG00000001631
11753545_x_at	RAD52	ENSG00000002016
11748832_a_at	RAD52	ENSG00000002016
11746884_a_at	RAD52	ENSG00000002016
11731758_at	RAD52	ENSG00000002016
11731760_a_at	RAD52	ENSG00000002016
11746886_x_at	RAD52	ENSG00000002016
11731761_x_at	RAD52	ENSG00000002016
11746885_s_at	RAD52	ENSG00000002016
11731759_s_at	RAD52	ENSG00000002016
11749968_a_at	RAD52	ENSG00000002016
11752970_a_at	RAD52	ENSG00000002016
11753544_a_at	RAD52	ENSG00000002016
11750088_x_at	BAD	ENSG00000002330
11727106_a_at	BAD	ENSG00000002330
11721243_a_at	LAP3	ENSG00000002549
11741449_s_at	CD99	ENSG00000002586
11754019_x_at	CD99	ENSG00000002586
11745958_a_at	CD99	ENSG00000002586
11733912_at	HS3ST1	ENSG00000002587
11733913_at	HS3ST1	ENSG00000002587
11719962_s_at	AOC1	ENSG00000002726
11737419_a_at	WNT16	ENSG00000002745
11737420_a_at	WNT16	ENSG00000002745
11735251_at	HECW1	ENSG00000002746
11735250_a_at	HECW1	ENSG00000002746
11737802_a_at	MAD1L1	ENSG00000002822
11724206_a_at	MAD1L1	ENSG00000002822
11724207_x_at	MAD1L1	ENSG00000002822
11757477_s_at	LASP1	ENSG00000002834
11760601_at	LASP1	ENSG00000002834
11715503_a_at	LASP1	ENSG00000002834
11715504_a_at	LASP1	ENSG00000002834
11761263_at	LASP1	ENSG00000002834
11751113_a_at	SNX11	ENSG00000002919
11723842_s_at	SNX11	ENSG00000002919
11725992_a_at	SNX11	ENSG00000002919
11720217_a_at	TMEM176A	ENSG00000002933
11715828_a_at	M6PR	ENSG00000003056
11752298_a_at	KLHL13	ENSG00000003096
11722908_a_at	KLHL13	ENSG00000003096
11730353_a_at	CYP26B1	ENSG00000003137
11730354_a_at	CYP26B1	ENSG00000003137
11746504_a_at	ICA1	ENSG00000003147
11736491_x_at	ICA1	ENSG00000003147
11746505_x_at	ICA1	ENSG00000003147
11725519_a_at	ICA1	ENSG00000003147
11725520_s_at	ICA1	ENSG00000003147
11754347_x_at	DBNDD1	ENSG00000003249
11745814_x_at	DBNDD1	ENSG00000003249
11745813_a_at	DBNDD1	ENSG00000003249
11754346_a_at	DBNDD1	ENSG00000003249
11758270_s_at	DBNDD1	ENSG00000003249
11730691_s_at	ALS2	ENSG00000003393
11761994_at	ALS2	ENSG00000003393
11761970_at	ALS2	ENSG00000003393
11719649_at	ALS2	ENSG00000003393
11750622_a_at	ALS2	ENSG00000003393
11742104_a_at	CASP10	ENSG00000003400
11742105_at	CASP10	ENSG00000003400
11745653_a_at	CASP10	ENSG00000003400
11728057_a_at	CASP10	ENSG00000003400
11728056_a_at	CASP10	ENSG00000003400
11746342_a_at	CFLAR	ENSG00000003402
11763231_at	CFLAR	ENSG00000003402
11746300_x_at	CFLAR	ENSG00000003402
11753252_a_at	CFLAR	ENSG00000003402
11754126_x_at	CFLAR	ENSG00000003402
11756996_x_at	CFLAR	ENSG00000003402
11720275_a_at	CFLAR	ENSG00000003402
11752428_x_at	CFLAR	ENSG00000003402
11753152_x_at	CFLAR	ENSG00000003402
11757793_s_at	TFPI	ENSG00000003436
11723951_a_at	TFPI	ENSG00000003436
11731183_a_at	TFPI	ENSG00000003436
11746711_a_at	NDUFAF7	ENSG00000003509
11727827_x_at	NDUFAF7	ENSG00000003509
11727826_a_at	NDUFAF7	ENSG00000003509
11752280_a_at	RBM5	ENSG00000003756
11754588_a_at	RBM5	ENSG00000003756
11716008_x_at	RBM5	ENSG00000003756
11716007_a_at	RBM5	ENSG00000003756
11763377_a_at	RBM5	ENSG00000003756
11752281_x_at	RBM5	ENSG00000003756
11751248_a_at	MTMR7	ENSG00000003987
11734950_a_at	MTMR7	ENSG00000003987
11734951_at	MTMR7	ENSG00000003987
11734949_s_at	MTMR7	ENSG00000003987
11733045_at	SLC7A2	ENSG00000003989
11733042_at	SLC7A2	ENSG00000003989
11733044_at	SLC7A2	ENSG00000003989
11733043_a_at	SLC7A2	ENSG00000003989
11744872_x_at	ARF5	ENSG00000004059
11735695_a_at	ARF5	ENSG00000004059
11744871_a_at	ARF5	ENSG00000004059
11754156_x_at	ARF5	ENSG00000004059
11728111_at	SARM1	ENSG00000004139
11728112_s_at	SARM1	ENSG00000004139
11750238_a_at	SARM1	ENSG00000004139
11746003_a_at	POLDIP2	ENSG00000004142
11730224_a_at	POLDIP2	ENSG00000004142
11730225_a_at	POLDIP2	ENSG00000004142
11744623_a_at	POLDIP2	ENSG00000004142
11751084_s_at	PLXND1	ENSG00000004399
11729203_a_at	PLXND1	ENSG00000004399
11720321_at	AK2	ENSG00000004455
11720322_a_at	AK2	ENSG00000004455
11733317_s_at	AK2	ENSG00000004455
11760208_at	AK2	ENSG00000004455
11751675_s_at	AK2	ENSG00000004455
11720320_at	AK2	ENSG00000004455
11751676_x_at	AK2	ENSG00000004455
11720323_s_at	AK2	ENSG00000004455
11729769_a_at	CD38	ENSG00000004468
11744683_s_at	FKBP4	ENSG00000004478
11736022_at	FKBP4	ENSG00000004478
11736021_a_at	FKBP4	ENSG00000004478
11719325_s_at	KDM1A	ENSG00000004487
11756415_x_at	RBM6	ENSG00000004534
11750904_a_at	RBM6	ENSG00000004534
11717336_a_at	RBM6	ENSG00000004534
11721581_at	CAMKK1	ENSG00000004660
11738175_at	CAMKK1	ENSG00000004660
11739728_a_at	RECQL	ENSG00000004700
11750695_x_at	RECQL	ENSG00000004700
11750694_a_at	RECQL	ENSG00000004700
11743006_x_at	RECQL	ENSG00000004700
11739729_a_at	RECQL	ENSG00000004700
11738291_a_at	VPS50	ENSG00000004766
11756908_a_at	VPS50	ENSG00000004766
11761951_at	VPS50	ENSG00000004766
11738292_x_at	VPS50	ENSG00000004766
11720488_a_at	HSPB6	ENSG00000004776
11746923_a_at	HSPB6	ENSG00000004776
11749628_a_at	ARHGAP33	ENSG00000004777
11730412_a_at	ARHGAP33	ENSG00000004777
11749629_x_at	ARHGAP33	ENSG00000004777
11755041_x_at	ARHGAP33	ENSG00000004777
11715616_a_at	NDUFAB1	ENSG00000004779
11716975_a_at	PDK4	ENSG00000004799
11716974_a_at	PDK4	ENSG00000004799
11753084_a_at	SLC22A16	ENSG00000004809
11754703_a_at	SLC22A16	ENSG00000004809
11756097_s_at	ZMYND10	ENSG00000004838
11750642_a_at	ABCB5	ENSG00000004846
11759159_at	ABCB5	ENSG00000004846
11746415_a_at	ABCB5	ENSG00000004846
11735441_a_at	ABCB5	ENSG00000004846
11731211_at	ARX	ENSG00000004848
11746815_a_at	SLC25A13	ENSG00000004864
11743477_at	SLC25A13	ENSG00000004864
11743476_a_at	SLC25A13	ENSG00000004864
11743401_x_at	CDC27	ENSG00000004897
11752920_a_at	CDC27	ENSG00000004897
11743402_at	CDC27	ENSG00000004897
11743400_s_at	CDC27	ENSG00000004897
11743403_a_at	CDC27	ENSG00000004897
11726490_a_at	SLC4A1	ENSG00000004939
11726489_at	SLC4A1	ENSG00000004939
11758430_s_at	SLC4A1	ENSG00000004939
11726491_at	SLC4A1	ENSG00000004939
11736980_a_at	CALCR	ENSG00000004948
11736981_a_at	CALCR	ENSG00000004948
11721472_a_at	HCCS	ENSG00000004961
11721473_a_at	HCCS	ENSG00000004961
11720199_a_at	DVL2	ENSG00000004975
11749612_x_at	DVL2	ENSG00000004975
11748243_a_at	DVL2	ENSG00000004975
11749611_a_at	DVL2	ENSG00000004975
11756352_a_at1	PRSS22	ENSG00000005001
11754617_s_at	UPF1	ENSG00000005007
11754616_a_at	UPF1	ENSG00000005007
11717322_a_at	UPF1	ENSG00000005007
11749275_a_at	SKAP2	ENSG00000005020
11720044_at	SKAP2	ENSG00000005020
11758114_x_at	SKAP2	ENSG00000005020
11715400_x_at	SLC25A5	ENSG00000005022
11715399_at	SLC25A5	ENSG00000005022
11758793_at	MCUB	ENSG00000005059
11755137_a_at	MCUB	ENSG00000005059
11735303_a_at	HOXA11	ENSG00000005073
11735304_at	HOXA11	ENSG00000005073
11744770_a_at	HOXA11	ENSG00000005073
11757370_x_at	POLR2J	ENSG00000005075
11744504_x_at	POLR2J	ENSG00000005075
11755669_a_at	DHX33	ENSG00000005100
11727950_s_at	DHX33	ENSG00000005100
11727951_a_at	DHX33	ENSG00000005100
11727949_at	DHX33	ENSG00000005100
11735010_at	MEOX1	ENSG00000005102
11721623_a_at	MEOX1	ENSG00000005102
11735009_a_at	MEOX1	ENSG00000005102
11744117_at	THSD7A	ENSG00000005108
11763629_s_at	LIG3	ENSG00000005156
11760527_s_at	LIG3	ENSG00000005156
11760526_at	LIG3	ENSG00000005156
11725377_a_at	LIG3	ENSG00000005156
11735658_a_at	LIG3	ENSG00000005156
11763631_at	LIG3	ENSG00000005156
11750294_a_at	LIG3	ENSG00000005156
11763630_x_at	LIG3	ENSG00000005156
11729184_s_at	RPAP3	ENSG00000005175
11729183_a_at	RPAP3	ENSG00000005175
11730154_a_at	ACSM3	ENSG00000005187
11727427_a_at	ACSM3	ENSG00000005187
11718143_a_at	REXO5	ENSG00000005189
11716164_x_at	CIAPIN1	ENSG00000005194
11716163_s_at	CIAPIN1	ENSG00000005194
11747358_x_at	CIAPIN1	ENSG00000005194
11761436_x_at	CIAPIN1	ENSG00000005194
11747357_a_at	CIAPIN1	ENSG00000005194
11761435_at	CIAPIN1	ENSG00000005194
11759790_at	SPPL2B	ENSG00000005206
11729292_a_at	SPPL2B	ENSG00000005206
11726408_a_at	SPPL2B	ENSG00000005206
11729293_a_at	SPPL2B	ENSG00000005206
11737841_a_at	FAM214B	ENSG00000005238
11722963_a_at	COPZ2	ENSG00000005243
11730260_a_at1	PRKAR2B	ENSG00000005249
11730261_a_at1	PRKAR2B	ENSG00000005249
11722874_s_at	MSL3	ENSG00000005302
11729287_x_at	MSL3	ENSG00000005302
11761148_at	MSL3	ENSG00000005302
11729288_at	MSL3	ENSG00000005302
11729286_a_at	MSL3	ENSG00000005302
11748254_s_at	MSL3	ENSG00000005302
11740647_a_at	CREBBP	ENSG00000005339
11758105_s_at	CREBBP	ENSG00000005339
11723893_s_at	CREBBP	ENSG00000005339
11758635_s_at	CREBBP	ENSG00000005339
11754200_a_at	CREBBP	ENSG00000005339
11763495_s_at	TSPOAP1	ENSG00000005379
11755370_x_at	TSPOAP1	ENSG00000005379
11737364_a_at	TSPOAP1	ENSG00000005379
11729468_a_at	TSPOAP1	ENSG00000005379
11727443_at	MPO	ENSG00000005381
11727442_at	MPO	ENSG00000005381
11759206_at	PON1	ENSG00000005421
11736569_at	PON1	ENSG00000005421
11764071_s_at	GCFC2	ENSG00000005436
11739789_a_at	GCFC2	ENSG00000005436
11739790_a_at	GCFC2	ENSG00000005436
11722807_a_at	WDR54	ENSG00000005448
11720744_a_at	CROT	ENSG00000005469
11733923_a_at	CROT	ENSG00000005469
11744554_at	CROT	ENSG00000005469
11720743_x_at	CROT	ENSG00000005469
11732819_a_at	ABCB4	ENSG00000005471
11762867_at	ABCB4	ENSG00000005471
11745779_a_at	KMT2E	ENSG00000005483
11759830_at	KMT2E	ENSG00000005483
11735284_x_at	KMT2E	ENSG00000005483
11726357_a_at	KMT2E	ENSG00000005483
11726358_a_at	KMT2E	ENSG00000005483
11759831_x_at	KMT2E	ENSG00000005483
11756118_s_at	KMT2E	ENSG00000005483
11726359_a_at	KMT2E	ENSG00000005483
11735283_a_at	KMT2E	ENSG00000005483
11716553_a_at	RHBDD2	ENSG00000005486
11721911_at	SOX8	ENSG00000005513
11720268_a_at1	IBTK	ENSG00000005700
11720270_a_at1	IBTK	ENSG00000005700
11760539_a_at1	IBTK	ENSG00000005700
11720269_a_at1	IBTK	ENSG00000005700
11739920_x_at	ZNF195	ENSG00000005801
11739919_a_at	ZNF195	ENSG00000005801
11759422_x_at	ZNF195	ENSG00000005801
11743021_a_at	ZNF195	ENSG00000005801
11742100_x_at	ZNF195	ENSG00000005801
11755401_a_at	ZNF195	ENSG00000005801
11755402_x_at	ZNF195	ENSG00000005801
11727121_at	MYCBP2	ENSG00000005810
11727120_a_at	MYCBP2	ENSG00000005810
11717982_a_at	FBXL3	ENSG00000005812
11758250_s_at	FBXL3	ENSG00000005812
11736888_x_at	ITGAL	ENSG00000005844
11749402_a_at	ITGAL	ENSG00000005844
11729226_x_at	ITGAL	ENSG00000005844
11751304_a_at	ITGAL	ENSG00000005844
11719555_a_at	PDK2	ENSG00000005882
11747205_a_at	PDK2	ENSG00000005882
11719556_a_at	PDK2	ENSG00000005882
11739145_a_at	ITGA3	ENSG00000005884
11756790_a_at	ITGA3	ENSG00000005884
11749035_a_at	ITGA3	ENSG00000005884
11741641_a_at	ZFX	ENSG00000005889
11741643_x_at	ZFX	ENSG00000005889
11741640_a_at	ZFX	ENSG00000005889
11717479_at	LAMP2	ENSG00000005893
11741054_s_at	LAMP2	ENSG00000005893
11742684_a_at	LAMP2	ENSG00000005893
11741053_a_at	LAMP2	ENSG00000005893
11749876_a_at	LAMP2	ENSG00000005893
11748160_s_at	LAMP2	ENSG00000005893
11750202_a_at	LAMP2	ENSG00000005893
11742685_a_at	LAMP2	ENSG00000005893
11717478_at	LAMP2	ENSG00000005893
11731161_at	ITGA2B	ENSG00000005961
11731160_a_at	ITGA2B	ENSG00000005961
11749951_a_at	ITGA2B	ENSG00000005961
11759469_s_at	ASB4	ENSG00000005981
11737270_a_at	ASB4	ENSG00000005981
11722795_a_at	GDE1	ENSG00000006007
11722794_at	GDE1	ENSG00000006007
11757526_x_at	REX1BD	ENSG00000006015
11733367_x_at	REX1BD	ENSG00000006015
11721368_at	CRLF1	ENSG00000006016
11751119_a_at	OSBPL7	ENSG00000006025
11735603_a_at	OSBPL7	ENSG00000006025
11751120_x_at	OSBPL7	ENSG00000006025
11735604_a_at	OSBPL7	ENSG00000006025
11757310_s_at	TMEM98	ENSG00000006042
11726442_a_at1	YBX2	ENSG00000006047
11759476_at1	KRT33A	ENSG00000006059
11715296_s_at1	KRT33A	ENSG00000006059
11724903_a_at1	MAP3K14	ENSG00000006062
11724902_a_at1	MAP3K14	ENSG00000006062
11757771_a_at	ABCC8	ENSG00000006071
11753931_a_at	ABCC8	ENSG00000006071
11723976_at	ABCC8	ENSG00000006071
11725646_at	CACNG3	ENSG00000006116
11723445_a_at	TMEM132A	ENSG00000006118
11723446_s_at	TMEM132A	ENSG00000006118
11716262_a_at	AP2B1	ENSG00000006125
11716261_a_at	AP2B1	ENSG00000006125
11728395_s_at	TAC1	ENSG00000006128
11734552_a_at	CX3CL1	ENSG00000006210
11734551_a_at	CX3CL1	ENSG00000006210
11763845_a_at	SPATA20	ENSG00000006282
11736145_a_at	SPATA20	ENSG00000006282
11751249_a_at	SPATA20	ENSG00000006282
11763846_x_at	SPATA20	ENSG00000006282
11738803_a_at	CACNA1G	ENSG00000006283
11739784_a_at	CACNA1G	ENSG00000006283
11738804_at	CACNA1G	ENSG00000006283
11745020_a_at	TNFRSF12A	ENSG00000006327
11734153_at	DLX6	ENSG00000006377
11736703_x_at	MAP3K9	ENSG00000006432
11736702_a_at	MAP3K9	ENSG00000006432
11750631_a_at	MAP3K9	ENSG00000006432
11717756_s_at	RALA	ENSG00000006451
11717758_x_at	RALA	ENSG00000006451
11717757_s_at	RALA	ENSG00000006451
11722670_at	BAIAP2L1	ENSG00000006453
11722669_s_at	BAIAP2L1	ENSG00000006453
11755223_a_at	KDM7A	ENSG00000006459
11753717_a_at	KDM7A	ENSG00000006459
11733181_at	ETV1	ENSG00000006468
11748964_a_at	ETV1	ENSG00000006468
11748965_x_at	ETV1	ENSG00000006468
11733180_a_at	ETV1	ENSG00000006468
11747748_a_at	ETV1	ENSG00000006468
11733182_a_at	ETV1	ENSG00000006468
11733183_x_at	ETV1	ENSG00000006468
11745799_s_at	ETV1	ENSG00000006468
11739123_at1	AGK	ENSG00000006530
11739124_a_at1	AGK	ENSG00000006530
11762881_at1	AGK	ENSG00000006530
11731723_a_at	ALDH3B1	ENSG00000006534
11741146_x_at	ALDH3B1	ENSG00000006534
11731722_a_at	ALDH3B1	ENSG00000006534
11740408_at	TTC22	ENSG00000006555
11731387_at	TTC22	ENSG00000006555
11737589_a_at	PHTF2	ENSG00000006576
11747128_a_at	PHTF2	ENSG00000006576
11743389_s_at	PHTF2	ENSG00000006576
11737590_a_at	PHTF2	ENSG00000006576
11735512_a_at	PHTF2	ENSG00000006576
11735511_x_at	PHTF2	ENSG00000006576
11758167_s_at	PHTF2	ENSG00000006576
11721049_at	CCL26	ENSG00000006606
11760904_a_at	FARP2	ENSG00000006607
11760905_at	FARP2	ENSG00000006607
11743313_a_at	FARP2	ENSG00000006607
11749163_a_at	FARP2	ENSG00000006607
11739593_a_at	USH1C	ENSG00000006611
11742442_a_at	USH1C	ENSG00000006611
11724225_a_at	GGCT	ENSG00000006625
11753043_s_at	DBF4	ENSG00000006634
11758032_s_at	DBF4	ENSG00000006634
11734713_s_at	DBF4	ENSG00000006634
11747731_a_at	DBF4	ENSG00000006634
11752175_x_at	DBF4	ENSG00000006634
11734714_at	DBF4	ENSG00000006634
11734715_a_at	DBF4	ENSG00000006634
11752579_x_at	TBXA2R	ENSG00000006638
11752118_x_at	TBXA2R	ENSG00000006638
11735342_s_at	TBXA2R	ENSG00000006638
11742274_x_at	TBXA2R	ENSG00000006638
11748629_a_at	IFRD1	ENSG00000006652
11735470_a_at	LGALS14	ENSG00000006659
11749578_a_at	COX10	ENSG00000006695
11718865_at	COX10	ENSG00000006695
11750604_a_at	GTF2IRD1	ENSG00000006704
11744204_a_at	PAF1	ENSG00000006712
11749516_a_at	PAF1	ENSG00000006712
11742196_s_at	VPS41	ENSG00000006715
11757923_s_at	VPS41	ENSG00000006715
11755221_a_at	VPS41	ENSG00000006715
11724641_a_at	ARHGAP44	ENSG00000006740
11724640_a_at	ARHGAP44	ENSG00000006740
11755053_s_at	ELAC2	ENSG00000006744
11754341_s_at	ELAC2	ENSG00000006744
11754340_a_at	ELAC2	ENSG00000006744
11754342_x_at	ELAC2	ENSG00000006744
11731606_at	SCIN	ENSG00000006747
11731607_a_at	SCIN	ENSG00000006747
11738344_at	ARSD	ENSG00000006756
11717370_at	ARSD	ENSG00000006756
11717369_a_at	ARSD	ENSG00000006756
11758008_s_at	PNPLA4	ENSG00000006757
11720862_at	PNPLA4	ENSG00000006757
11720863_at	PNPLA4	ENSG00000006757
11752358_a_at	MYH13	ENSG00000006788
11738231_at	MYH13	ENSG00000006788
11756164_s_at1	ADIPOR2	ENSG00000006831
11716197_a_at1	ADIPOR2	ENSG00000006831
11762142_x_at	CDKL3	ENSG00000006837
11760817_at	CDKL3	ENSG00000006837
11732893_at	CDKL3	ENSG00000006837
11749785_x_at	CDKL3	ENSG00000006837
11764007_at	CDKL3	ENSG00000006837
11748555_a_at	CDKL3	ENSG00000006837
11762148_x_at	CDKL3	ENSG00000006837
11732894_x_at	CDKL3	ENSG00000006837
11760818_x_at	CDKL3	ENSG00000006837
11749784_a_at	CDKL3	ENSG00000006837
11726160_a_at	UPP2	ENSG00000007001
11724138_at1	PRSS21	ENSG00000007038
11715214_at	MARK4	ENSG00000007047
11754354_s_at	PROM1	ENSG00000007062
11756660_a_at	PROM1	ENSG00000007062
11719087_at	CCDC124	ENSG00000007080
11753314_a_at1	CEACAM21	ENSG00000007129
11732867_a_at1	CEACAM21	ENSG00000007129
11754745_x_at1	CEACAM21	ENSG00000007129
11748560_a_at	PAFAH1B1	ENSG00000007168
11716152_s_at	PAFAH1B1	ENSG00000007168
11746695_s_at	PAFAH1B1	ENSG00000007168
11755965_a_at	PAFAH1B1	ENSG00000007168
11747008_s_at	PAFAH1B1	ENSG00000007168
11716153_a_at	PAFAH1B1	ENSG00000007168
11746694_a_at	PAFAH1B1	ENSG00000007168
11752035_a_at	NOS2	ENSG00000007171
11752213_a_at	NOS2	ENSG00000007171
11724403_at	NOS2	ENSG00000007171
11749271_a_at	DNAH9	ENSG00000007174
11735883_a_at	DNAH9	ENSG00000007174
11756852_a_at	KIAA0100	ENSG00000007202
11744597_a_at	KIAA0100	ENSG00000007202
11742771_a_at	KIAA0100	ENSG00000007202
11732085_a_at	SLC13A2	ENSG00000007216
11735700_a_at	SLC13A2	ENSG00000007216
11739553_a_at	GAS7	ENSG00000007237
11750324_a_at	GAS7	ENSG00000007237
11725364_x_at	GAS7	ENSG00000007237
11743807_a_at	GAS7	ENSG00000007237
11752496_a_at	GAS7	ENSG00000007237
11739554_a_at	GAS7	ENSG00000007237
11721025_a_at	TRAPPC6A	ENSG00000007255
11731227_a_at	MATK	ENSG00000007264
11728727_at1	CEACAM7	ENSG00000007306
11728726_a_at1	CEACAM7	ENSG00000007306
11753653_a_at1	CEACAM7	ENSG00000007306
11751355_a_at1	CEACAM7	ENSG00000007306
11761230_x_at	CD79B	ENSG00000007312
11719221_a_at	CD79B	ENSG00000007312
11761229_at	CD79B	ENSG00000007312
11735402_at	SCN4A	ENSG00000007314
11735401_at	SCN4A	ENSG00000007314
11741628_x_at	ST7L	ENSG00000007341
11735001_a_at	ST7L	ENSG00000007341
11735002_a_at	ST7L	ENSG00000007341
11756530_x_at	ST7L	ENSG00000007341
11754186_x_at	ST7L	ENSG00000007341
11737442_x_at	ST7L	ENSG00000007341
11735003_a_at	ST7L	ENSG00000007341
11737441_a_at	ST7L	ENSG00000007341
11741627_a_at	ST7L	ENSG00000007341
11764040_at	TKTL1	ENSG00000007350
11750146_a_at	TKTL1	ENSG00000007350
11726242_a_at	TKTL1	ENSG00000007350
11722467_s_at	PAX6	ENSG00000007372
11754849_a_at	PAX6	ENSG00000007372
11722466_s_at	PAX6	ENSG00000007372
11720092_a_at	RPUSD1	ENSG00000007376
11763762_a_at	RPUSD1	ENSG00000007376
11761926_a_at	RHBDF1	ENSG00000007384
11746177_a_at	RHBDF1	ENSG00000007384
11746179_a_at	RHBDF1	ENSG00000007384
11746178_s_at	RHBDF1	ENSG00000007384
11722079_a_at	RHBDF1	ENSG00000007384
11728263_at	LUC7L	ENSG00000007392
11725731_x_at	LUC7L	ENSG00000007392
11728262_a_at	LUC7L	ENSG00000007392
11725730_a_at	LUC7L	ENSG00000007392
11730116_s_at	CACNA2D2	ENSG00000007402
11754210_a_at	CACNA2D2	ENSG00000007402
11736322_a_at	BAIAP3	ENSG00000007516
11749418_a_at	BAIAP3	ENSG00000007516
11747273_a_at	BAIAP3	ENSG00000007516
11736323_a_at	BAIAP3	ENSG00000007516
11751312_a_at	BAIAP3	ENSG00000007516
11720662_at	TSR3	ENSG00000007520
11724052_s_at	PIGQ	ENSG00000007541
11761587_x_at	PIGQ	ENSG00000007541
11749431_a_at	PIGQ	ENSG00000007541
11721909_at	CRAMP1	ENSG00000007545
11721910_at	CRAMP1	ENSG00000007545
11719336_a_at	TEAD3	ENSG00000007866
11726316_at	SELE	ENSG00000007908
11726317_at	SELE	ENSG00000007908
11744749_a_at	DNAJC11	ENSG00000007923
11754704_a_at	DNAJC11	ENSG00000007923
11749523_a_at	DNAJC11	ENSG00000007923
11726051_a_at	FMO3	ENSG00000007933
11760670_x_at	FMO3	ENSG00000007933
11757972_s_at	MYLIP	ENSG00000007944
11718007_a_at	MYLIP	ENSG00000007944
11718006_a_at	MYLIP	ENSG00000007944
11744651_a_at	NOX1	ENSG00000007952
11736459_a_at	NOX1	ENSG00000007952
11724079_s_at1	E2F2	ENSG00000007968
11724078_at1	E2F2	ENSG00000007968
11754482_a_at1	PSMB1	ENSG00000008018
11715943_x_at1	PSMB1	ENSG00000008018
11726133_a_at	SYN1	ENSG00000008056
11720012_at	JARID2	ENSG00000008083
11748966_a_at	JARID2	ENSG00000008083
11720011_at	JARID2	ENSG00000008083
11744929_a_at	JARID2	ENSG00000008083
11720010_s_at	JARID2	ENSG00000008083
11737817_a_at	CDKL5	ENSG00000008086
11750350_a_at	CAMK1G	ENSG00000008118
11754661_a_at	CAMK1G	ENSG00000008118
11761333_x_at	CDK11A	ENSG00000008128
11760706_x_at	CDK11A	ENSG00000008128
11734869_a_at	NADK	ENSG00000008130
11734870_a_at	NADK	ENSG00000008130
11744406_a_at	NADK	ENSG00000008130
11746596_a_at	NADK	ENSG00000008130
11733305_a_at	TFAP2B	ENSG00000008196
11733307_at	TFAP2B	ENSG00000008196
11733306_a_at	TFAP2B	ENSG00000008196
11738543_a_at	TFAP2D	ENSG00000008197
11729041_a_at	DLEC1	ENSG00000008226
11729042_a_at	DLEC1	ENSG00000008226
11752027_a_at	DLEC1	ENSG00000008226
11717810_a_at	CYTH3	ENSG00000008256
11757447_s_at	CYTH3	ENSG00000008256
11740546_a_at	ADAM22	ENSG00000008277
11740545_a_at	ADAM22	ENSG00000008277
11752150_a_at	ADAM22	ENSG00000008277
11759927_at	ADAM22	ENSG00000008277
11715822_s_at	SYPL1	ENSG00000008282
11715821_a_at	SYPL1	ENSG00000008282
11715823_x_at	SYPL1	ENSG00000008282
11751210_a_at	CYB561	ENSG00000008283
11721693_a_at	CYB561	ENSG00000008283
11721690_a_at	CYB561	ENSG00000008283
11761107_at	CYB561	ENSG00000008283
11754284_s_at	CYB561	ENSG00000008283
11721691_x_at	CYB561	ENSG00000008283
11749971_x_at	CYB561	ENSG00000008283
11751429_x_at	CYB561	ENSG00000008283
11721692_x_at	CYB561	ENSG00000008283
11718896_x_at	SPAG9	ENSG00000008294
11752767_a_at	SPAG9	ENSG00000008294
